Shape,Carat,Cut,Color,Clarity,Table,Depth,Cert,Measurements,Price
Heart,3.13,Good,D,SI2,54,56.9,AGS,9.32 x 10.61 x 6.03,"$27,616"
Heart,1.03,Good,H,I1,51,57.5,AGS,6.22 x 7.03 x 4.04,"$3,188"
Heart,1.02,Good,G,SI2,56,51.3,AGS,6.36 x 7.07 x 3.64,"$3,158"
Heart,1.63,Good,K,SI2,63,43,AGS,7.83 x 8.28 x 3.56,"$4,009"
Heart,1.2,Ideal,E,SI2,48.4,57.9,AGS,7.42 x 6.25 x 4.29,"$5,256"
Heart,1.5,Ideal,E,SI2,52,53,AGS,8.22 x 7.4 x 4.36,"$7,860"
Heart,1.71,Ideal,H,SI2,51.4,61.4,AGS,8.34 x 7.28 x 5.12,"$8,557"
Heart,2.04,Ideal,F,SI2,52,50.2,AGS,8.79 x 8.13 x 4.41,"$14,121"
Heart,2.04,Ideal,F,SI2,64.9,39.3,AGS,9.83 x 8.83 x 3.87,"$12,612"
Heart,1.67,Ideal,I,SI2,54.5,41.6,AGS,7.84 x 9.1 x 3.79,"$6,700"
Heart,1.88,Ideal,I,SI2,64,52.3,AGS,8.23 x 8.16 x 4.31,"$9,552"
Heart,1.01,Ideal,I,SI2,58,49.9,AGS,6.82 x 6.79 x 3.39,"$2,719"
Heart,3.13,V.Good,D,SI2,54,56.9,AGS,9.32 x 10.61 x 6.03,"$28,889"
Heart,1.01,Good,I,SI2,58,49.9,AGS,6.82 x 6.79 x 3.39,"$2,386"
Heart,1.2,V.Good,E,SI2,48,57.9,AGS,7.42 x 6.25 x 4.29,"$4,694"
Heart,1.5,V.Good,E,SI2,52,53,AGS,8.22 x 7.40 x 4.36,"$6,969"
Heart,1.67,Good,I,SI2,54,41.6,AGS,9.10 x 7.84 x 3.79,"$5,962"
Heart,1.71,V.Good,H,SI2,51,61.4,AGS,8.34 x 7.28 x 5.12,"$7,676"
Heart,1.88,Good,I,SI2,64,52.3,AGS,8.23 x 8.16 x 4.31,"$8,636"
Heart,2.04,V.Good,F,SI2,52,50.2,AGS,8.79 x 8.13 x 4.41,"$12,584"
Heart,0.96,V.Good,H,SI2,58,65.8,GIA,5.49 x 6.42 x 4.22,"$2,850"
Heart,0.96,Good,I,VVS1,55,55.1,GIA,6.09 x 6.95 x 3.83,"$4,810"
Heart,0.96,Ideal,G,SI1,59,57.6,GIA,6.86 x 5.65 x 3.95,"$3,620"
Heart,0.96,Ideal,F,SI2,55,59.1,GIA,6.08 x 6.82 x 4.03,"$4,390"
Heart,0.96,Ideal,I,SI1,60,61.5,GIA,5.91 x 6.59 x 4.05,"$2,980"
Heart,0.96,Ideal,G,VS1,59,59.1,GIA,6.27 x 6.6 x 3.9,"$4,640"
Heart,0.96,Ideal,E,VS1,56,58.2,GIA,6.86 x 6.19 x 3.99,"$4,710"
Heart,0.96,Ideal,G,SI1,55,60.5,GIA,6.07 x 6.61 x 4,"$4,380"
Heart,0.96,Ideal,G,VS1,62,60.7,GIA,5.77 x 6.92 x 4.2,"$4,480"
Heart,0.96,Ideal,J,SI2,57,60,GIA,6.8 x 5.66 x 4.08,"$2,470"
Heart,0.96,V.Good,H,VVS2,57,58.2,GIA,5.98 x 6.85 x 3.99,"$4,350"
Heart,0.96,Good,I,SI1,60,56.6,GIA,6.91 x 6.16 x 3.91,"$3,010"
